split,index,image_id,question,answer,question_type
train,15230,clb0kvxw891sk074y9c0r2tec,"What abnormalities, procedures, and instruments are visible in the image?","evidence of oesophagitis is present, the image is from a gastroscopy, and no instruments are visible.",Multi-Choice
train,15242,cla820gm6s5cn071u175vd987,"What abnormalities, procedures, and findings related to polyp removal are visible in the image?","evidence of ulcerative colitis is present, the image is from a colonoscopy, and polyp removal is not relevant here.",Multi-Choice
train,15256,cl8k2u1qg1etv0832ent6hcrw,"What abnormalities, text, and procedural information are visible in the gastrointestinal image?","evidence of a polyp is present, text is visible, and the image was obtained during a colonoscopy.",Multi-Choice
train,15324,cla820gn2s6hv071u3e0j24qo,What procedure is depicted in the image and what abnormalities are present?,evidence of ulcerative colitis observed during colonoscopy.,Multi-Choice
train,15423,clb0kvxwn92fw074yg1ou05ok,What abnormalities are visible in the image?,evidence of barrett's esophagus and esophagitis,Multi-Choice
train,15464,cla820glss4vv071u4yuq7en0,"What abnormalities, anatomical landmarks, and polyp status are visible in the image?","evidence of ulcerative colitis, cecum identified, and polyp removal is not applicable.",Multi-Choice
train,15808,cl8k2u1ps1e0b08329arp8xig,"What procedure was performed, and what findings or polyps are visible in the image?",single polyp noted during colonoscopy examination.,Multi-Choice
train,15897,cl8k2u1rl1gcb0832attrfc8r,"What abnormalities, text, and procedure type are visible in the image?","evidence of a single polyp, presence of text, and findings from a colonoscopy procedure.",Multi-Choice
train,16547,clb0kvxuy8zv0074y7ofpeene,"What procedure is the image from, what abnormalities are present, and is there any text visible?",the image is from a gastroscopy with evidence of oesophagitis and no text present.,Multi-Choice
train,16595,cl8k2u1qo1f0j08325r4d2lfp,"What abnormalities are visible in the image, what procedure was performed, and what type of polyp is present?",evidence of a colonic polyp identified during a colonoscopy procedure.,Multi-Choice
train,16852,cla820gn6s6lv071u6ibw16sz,"What abnormalities, landmarks, and findings are present in the image?",evidence of ulcerative colitis is present without any identifiable anatomical landmarks.,Multi-Choice
train,18392,cla820gles4bz071u8fr012hd,"What abnormalities, text, and anatomical landmarks are visible in the image?","no anatomical landmarks are visible, but there is text present and evidence of ulcerative colitis.",Multi-Choice
train,18648,clb0kvxux8zu4074yc3afaavx,"What procedure is the image from, what abnormalities are visible, and what anatomical landmarks can be identified?",the image is from a gastroscopic examination showing evidence of esophagitis with a visible z-line.,Multi-Choice
train,18774,clb0kvxwd9218074y4li59fz7,"What procedure was performed, what abnormalities are present, and which anatomical landmarks are visible in the image?","the image is from a gastroscopy, showing evidence of oesophagitis, with no identifiable anatomical landmarks visible.",Multi-Choice
train,19122,clb0kvxw191hg074y4ggvb5pn,"What procedure is depicted in the image, what anatomical landmarks are visible, and what abnormalities are present?",the image shows a gastroscopy with z-line visible and evidence of oesophagitis.,Multi-Choice
train,19499,clb0kvxvz91f8074y4zyob5tc,What abnormalities and anatomical landmarks are visible in the image?,evidence of esophageal inflammation and z-line visualization,Multi-Choice
train,19531,clb0kvxwa91ws074y8flu4t9c,What procedure is depicted in the image and what abnormalities are present?,evidence of oesophagitis observed during gastroscopy,Multi-Choice
train,19654,clb0kvxwm92f0074yg52f5i0q,What abnormalities are visible in the image?,evidence of barrett's esophagus and esophagitis,Multi-Choice
train,19732,cla820gmxs6dv071ug3lxfswl,What procedure is depicted in the image and what findings are present?,evidence of ulcerative colitis observed during colonoscopy,Multi-Choice
train,20204,cla820gmns61n071u81lr2utd,"What procedure was performed, what anatomical landmarks are visible, and what abnormalities are present in the image?",the procedure was a colonoscopy with no visible anatomical landmarks and evidence of ulcerative colitis.,Multi-Choice
train,20542,cla820gm8s5fb071u0bn7dy4k,What abnormalities and instruments are present in the image?,"no foreign instruments observed, but evidence of inflammatory bowel disease noted.",Multi-Choice
train,21010,cla820gmos637071u7bd8b3ow,What abnormalities and instruments are present in the image?,"no foreign instruments detected, no evidence of inflammatory bowel disease",Multi-Choice
train,21029,cla820gn8s6oj071u2rjydjgb,"What abnormalities are visible, what procedure was performed, and is there any instrument visible in the image?","evidence of ulcerative colitis is present, the image is from a colonoscopy, and no instrument is visible.",Multi-Choice
train,21187,cla820gmns61j071uf0ue9616,Which anatomical landmark is visible in the image and what abnormalities are present?,"no significant anatomical landmark identified, evidence of inflammatory bowel disease",Multi-Choice
train,21469,cl8k2u1rm1gd308323591fmx1,"What abnormalities are visible in the image, what procedure was performed, and what type of polyp is observed?","polyp seen, consistent with paris ii classification, identified during colonoscopy.",Multi-Choice
train,21814,cla820gm0s55b071ugcr951eh,"What findings are absent in the gastrointestinal image, including polyps, instruments, and anatomical landmarks?","no polyps, instruments, or anatomical landmarks are visualized.",Multi-Choice
train,21952,cla820glws51b071u5gzk6x1i,"What abnormalities, procedures, and textual elements are visible in the image?","evidence of ulcerative colitis is present, the image is from a colonoscopy, and text is visible.",Multi-Choice
train,21959,clb0kvxvx91cg074ydroca3tw,What procedure is depicted in the image and what abnormalities are present?,evidence of oesophagitis observed during gastroscopy,Multi-Choice
train,22255,cla820gl0s3ob071u5z04bn3r,Which anatomical landmark is visible in the image and what abnormalities are present?,no anatomical landmark identified; evidence of inflammatory bowel disease,Multi-Choice
train,22287,clb0kvxwo92i4074y4wsh5ive,"What procedure was performed, what abnormalities are present, and is there any text visible in the gastrointestinal image?","gastroscopy was performed with evidence of oesophagitis and short-segment barrett's esophagus, and no text is visible.",Multi-Choice
train,22668,cl8k2u1qv1fbf08324esc07fh,"What abnormalities are visible in the image, what procedure was performed, and what type of polyp is identified?","evidence of a polyp is present, consistent with a colonoscopy procedure, and the polyp is classified as paris iia.",Multi-Choice
train,23136,cl8k2u1rn1gff08326wqk8amg,"What abnormalities, text, and procedure are visible in the gastrointestinal image?","no abnormalities observed, no text present, and the image is from a colonoscopy procedure.",Multi-Choice
train,23486,clb0kvxv6905w074y2k5pbv73,"What procedure is the image from, are there any green/black box artefacts, and what abnormalities are present?","the image is from a gastroscopy, no green or black box artefacts are present, and oesophagitis is observed.",Multi-Choice
train,23568,clb0kvxux8zuk074y2ecr98hy,"What abnormalities are visible, what procedure was performed, and is there any instrument present in the image?",evidence of oesophagitis is present without any instrument visible in the image.,Multi-Choice
train,23925,cl8k2u1rb1fvn08323t0w4toj,"What abnormalities are visible, is there any text present, and what type of procedure was performed to obtain this image?","evidence of a polyp is noted, text is visible, and the image is from a colonoscopy procedure.",Multi-Choice
train,24863,clb0kvxwb91y8074y19xrgfm8,"What abnormalities, anatomical landmarks, and artefacts are visible in the image?","mucosal inflammation is present, z-line is identifiable, and no green or black box artefacts are seen.",Multi-Choice
train,25107,clb0kvxvq9134074y41anax4e,What abnormalities are present in the image?,evidence of esophageal inflammation and polypoid lesion,Multi-Choice
train,25317,cla820glfs4cv071u0btu07hy,What procedure is depicted in the image and what findings are present?,evidence of ulcerative colitis observed during colonoscopy.,Multi-Choice
train,25481,clb0kvxwl92dw074yd5cy63kw,"What abnormalities, procedure type, and anatomical landmarks are visible in the image?","evidence of barrett's esophagus and esophagitis is present, along with the z-line anatomical landmark.",Multi-Choice
train,26679,clb0kvxwq92l0074ybfzza3i7,What abnormalities are visible in the image?,evidence of esophagitis and short-segment barrett's epithelium,Multi-Choice
train,27261,clb0kvxwi928s074yaghf65ee,What abnormalities are visible in the image?,evidence of barrett's esophagus and esophagitis,Multi-Choice
train,27833,cl8k2u1rr1glf0832455i6mvm,"What abnormalities, instruments, and procedure details are visible in the gastrointestinal image?","no visible instruments and no evidence of mucosal abnormalities, consistent with a colonoscopy.",Multi-Choice
train,28745,clb0kvxwn92gc074y6yho2akf,"In the image, is there any instrument visible, are there green/black box artefacts, and what abnormalities can be identified?","no instrument is visible, no green/black box artefacts are present, and there is evidence of oesophagitis.",Multi-Choice
train,28880,clb0kvxv89090074ybpe91eco,What abnormalities and instruments are visible in the image?,evidence of esophageal inflammation without any visible instruments,Multi-Choice
train,28962,cl8k2u1st1gyb08328ooken3l,"What procedure was performed, what abnormalities are visible, and is there any text present in the image?",the image is from a colonoscopy with a visible polyp and text noted.,Multi-Choice
train,28967,cla820gmqs65v071ubbawf0bx,"What abnormalities are visible, what procedure was performed, and is there any instrumentation seen in the image?",evidence of ulcerative colitis is present without any visible instrumentation.,Multi-Choice
train,29359,cla820gl2s3qb071u5u6c3vmq,Which anatomical landmark is visible in the image and what abnormalities are present?,no significant anatomical landmark identified; evidence of inflammatory bowel disease,Multi-Choice
train,29826,cl8k2u1rc1fwv0832dci26y6g,"What abnormalities, anatomical landmarks, and total findings are visible in the image?",evidence of a single polyp noted in the cecal region.,Multi-Choice
train,30537,cla820gmrs66b071u9rag0g8i,What procedure is depicted in the image and what abnormalities are visible?,evidence of ulcerative colitis found during colonoscopy,Multi-Choice
train,30677,cla820gl8s41b071u9jv628nz,"What procedure is shown, what instruments are visible, and what findings are present in the gastrointestinal image?",the image shows a colonoscopy with no instruments visible and no polyps identified.,Multi-Choice
train,30701,cla820gmts69r071u43ysgnkv,"What procedure was performed, what anatomical landmark is visible, and what abnormalities are present in the image?",the image is from a colonoscopy with no identifiable anatomical landmarks and evidence of ulcerative colitis.,Multi-Choice
train,30932,clb0kvxwo92j0074yb38bgke3,"What abnormalities, if any, are visible in the image, what type of polyp is present, and what procedure was performed to obtain this image?","evidence of oesophagitis and gastric polyps identified, no specific polyp type observed, and image obtained via gastroscopy.",Multi-Choice
train,31191,cl8k2u1q31egf0832a34z2u29,"What abnormalities are visible in the image, what procedure was performed, and what type of polyp is present?","a pedunculated polyp is observed, consistent with a colonoscopy image showing a paris iia lesion.",Multi-Choice
train,31323,cla820glws51f071u3fvq7lru,"What abnormalities, instruments, and procedure are visible in the image?",evidence of ulcerative colitis without any visible instruments from a colonoscopy procedure.,Multi-Choice
train,31552,cl8k2u1pu1e3b0832blgn4zyw,"What abnormalities are visible in the image, what procedure was performed, and what type of polyp is observed?","evidence of a polyp is noted, the image is from a colonoscopy, and the polyp is of the paris ip type.",Multi-Choice
train,31985,cla820gmys6ff071u838uem5s,"What procedure was performed, what abnormalities are present, and is there any polyp observed in the image?",evidence of a colonoscopy with no polyp seen and findings consistent with ulcerative colitis.,Multi-Choice
train,32052,clb0kvxuy8zvc074ybq8dggsu,What procedure is depicted in the image and what abnormalities are present?,findings consistent with oesophagitis observed during gastroscopy,Multi-Choice
train,32113,clb0kvxvn90zg074y4d0admpx,"What abnormalities, anatomical landmarks, and artefacts are present in the image?","mucosal inflammation is noted, with presence of the z-line, and no green or black box artefacts observed.",Multi-Choice
train,32125,clb0kvxwq92lw074yehu3bofl,What abnormalities are visible in the image?,evidence of esophagitis with short-segment barrett's esophagus,Multi-Choice
train,32169,cla820gn9s6q3071u1ntnad6g,"What procedure is depicted in the image, what abnormalities are present, and are there any instruments visible?",the image shows a colonoscopy with no visible instruments and evidence of ulcerative colitis.,Multi-Choice
train,32335,clb0kvxvt9170074yg4ieeb2v,"What procedure is shown in the image, what abnormalities are present, and is the removal of polyps relevant?","the image is from a gastroscopy, showing evidence of oesophagitis, and polyp removal is not applicable.",Multi-Choice
train,32416,clb0kvxuu8zrc074y2e22de0g,"What abnormalities, instruments, and procedural information can be identified in the gastrointestinal image?","mucosal inflammation is present, no instruments are visible, and the image was obtained during a gastroscopy.",Multi-Choice
train,32796,cla820gm0s55b071ugcr951eh,What procedure is depicted in the image and what findings are present?,evidence of ulcerative colitis seen during colonoscopy,Multi-Choice
train,32807,cl8k2u1q91ek70832eg0e908v,"What abnormalities are visible, what procedure was performed, and what type of polyp is present in the image?",polyp noted with characteristic features suggestive of a paris classification,Multi-Choice
train,32933,clb0kvxvj90tk074y2njo1q8n,"What procedure was performed, what abnormalities are present, and is there any text visible in the image?",the image is from a gastroscopy with evidence of oesophagitis and no text present.,Multi-Choice
train,32954,clb0kvxvu918s074yflg52x8r,"What procedure is depicted in the image, are there any green/black box artefacts, and what abnormalities are present?",the image shows a gastroscopy with no artefacts and evidence of oesophagitis.,Multi-Choice
train,33183,cla820gmns61n071u81lr2utd,"What type of polyp is present, what anatomical landmarks are visible, and what abnormalities are seen in the image?","no polyps, landmarks, or abnormalities are observed in the image.",Multi-Choice
train,33184,clb0kvxwm92f8074yf9rkgni7,What procedure is depicted in the image and what findings are present?,evidence of esophageal inflammation is noted during the procedure.,Multi-Choice
train,33418,cla820gl4s3u7071u1ccm7nxt,"What procedure is depicted in the image, and what findings are present?",findings consistent with active ulcerative colitis observed during colonoscopy.,Multi-Choice
train,33526,cla820gn7s6n7071ud7xg2k8v,"What procedure was performed, what instruments are visible, and what findings are present in the gastrointestinal image?",the image was obtained during a colonoscopy with no instruments visible and no polyps identified.,Multi-Choice
train,34148,clb0kvxwp92j4074y73c2awy8,What abnormalities are visible in the image?,evidence of oesophagitis and short-segment barrett's,Multi-Choice
train,34739,clb0kvxwm92fk074yh5vrcfyh,What abnormalities are visible in the image?,evidence of barrett's esophagus and esophagitis,Multi-Choice
train,34807,cla820gmxs6eb071u60l982sj,What procedure is depicted in the image and what findings are present?,evidence of ulcerative colitis seen during colonoscopy.,Multi-Choice
train,34890,clb0kvxv08zxc074y6ywk59zo,"What procedure was performed, and what findings are visible regarding polyps in the gastrointestinal tract?",gastroscopy shows no evidence of polyps present.,Multi-Choice
train,35776,clb0kvxv990b4074y4ot3gmi8,What procedure is depicted in the image and what abnormalities are present?,evidence of oesophagitis seen during gastroscopy,Multi-Choice
train,36103,clb0kvxwk92bc074y5ch97ua9,"What procedure was performed, and what findings are present regarding polyps in the gastrointestinal tract?",gastroscopy was performed with no evidence of polyps observed.,Multi-Choice
train,36397,clb0kvxuq8zn0074y3dkr920e,"What procedure is depicted in the image, are there any instruments visible, and what abnormalities are present?",gastroscopy performed without visible instruments and showing evidence of esophagitis,Multi-Choice
train,36476,clb0kvxwj929g074yhca23pss,What procedure is depicted in the image and what abnormalities are present?,findings consistent with oesophagitis observed during gastroscopy,Multi-Choice
train,36964,clb0kvxv49020074y7aa578j1,"What procedure was performed, what findings are present, and is there any text visible in the image?",gastroscopy was performed with no polyps identified and no text present in the image.,Multi-Choice
train,37463,clb0kvxwo92iw074y7wqt4ybk,What abnormalities are present in the image?,evidence of barrett's epithelium and esophagitis,Multi-Choice
train,38026,cla820gl4s3tn071u0pfr2b9j,What procedure is depicted in the image and what findings are present?,the image shows a colonoscopy with no polyps observed.,Multi-Choice
train,38247,cla820glys53f071ubs63f5yi,"What procedure is depicted in the image, what abnormalities are present, and are there any anatomical landmarks visible?",the image is from a colonoscopy with no identifiable anatomical landmarks and evidence of ulcerative colitis.,Multi-Choice
train,38490,cla820gl6s3xn071uhm0a3y1n,What procedure is depicted in the image and what abnormalities are present?,evidence of ulcerative colitis observed during colonoscopy,Multi-Choice
train,39024,clb0lbwz7dou8086u7y68e7ak,"What abnormalities, instruments, and artifacts are visible in the image?","no green or black box artifacts are present, and a metal clip is visible, but no polyps are identified.",Multi-Choice
train,39083,cla820glus4y7071u0i1774qp,"What procedure is depicted in the image, and what abnormalities are present?",findings are consistent with ulcerative colitis involving the colon.,Multi-Choice
train,39162,clb0kvxuz8zwk074y5wsmesj0,"What abnormalities, anatomical landmarks, and artefacts are visible in the image?","evidence of oesophagitis is present, the z-line is identified, and no green or black box artefacts are observed.",Multi-Choice
train,39278,cla820gmts69z071u86tsartr,"What abnormalities, polyps, and anatomical landmarks are present in the image?","no polyps identified, no anatomical landmarks noted, and no evidence of ulcerative colitis.",Multi-Choice
train,39821,cla820gl4s3ub071u7ypd8d4h,What procedure is depicted in the image and what findings are present?,procedure is a colonoscopy with evidence of inflammatory changes consistent with ulcerative colitis.,Multi-Choice
train,39979,cla820glys53r071ub64d5s10,Which anatomical landmark is visible in the image and what abnormalities are present?,"no anatomical landmark identified, evidence of ulcerative colitis",Multi-Choice
train,40222,clb0kvxw091gk074y2eda89jg,What procedure is depicted in the image and what findings are observed?,gastroscopy shows no evidence of polyps present.,Multi-Choice
train,40303,clb0kvxwj92ag074yeh9u6r4w,"What procedure was performed, and what findings are visible regarding polyps?",gastroscopy reveals no evidence of polyps present.,Multi-Choice
train,40397,clb0kvxwf9248074y2gg6hnvg,What procedure is depicted in the image and what abnormalities are present?,evidence of esophageal inflammation is noted along with a gastroscopic view.,Multi-Choice
train,40547,clb0kvxv5903s074y5iad8ltl,What abnormalities are visible in the image?,evidence of esophageal inflammation and polypoid lesion,Multi-Choice
train,40736,clb0kvxwk92c4074yd1ef5mc3,What abnormalities are observed in the image?,evidence of barrett's esophagus and esophagitis,Multi-Choice
train,40997,cl8k2u1rp1giv0832eo3o2ax1,"What procedure was performed, what abnormalities are visible, and were all polyps removed in the image?","colonoscopy was performed, with a visible polyp noted, and not all polyps have been removed.",Multi-Choice
train,42221,cla820gm3s58z071ugcg9by1f,"What procedure is shown in the image, what abnormalities are present, and are there any instruments visible?",the image is from a colonoscopy showing evidence of ulcerative colitis with no instruments present.,Multi-Choice
train,42350,cla820gm3s58z071ugcg9by1f,What procedure is depicted in the image and what abnormalities are present?,evidence of ulcerative colitis noted during colonoscopy,Multi-Choice
train,42384,clb0kvxvg90o8074y9jii7q81,"What procedure is depicted in the image, what abnormalities are present, and is there any instrument visible?",the image shows a gastroscopy with evidence of oesophagitis and no instrument visible.,Multi-Choice
train,42934,clb0kvxwc920c074y5irb76if,"What procedure was performed, what abnormalities are present, and what type of polyp is observed in the gastrointestinal image?",the image is from a gastroscopy with evidence of oesophagitis and no polyps identified.,Multi-Choice
train,43021,clb0kvxwh927k074y50oqft3a,Which anatomical landmark is visible in the image and what abnormalities are present?,no anatomical landmark is identifiable; evidence of barrett's esophagus and esophagitis is present.,Multi-Choice
train,43693,clb0kvxvu918w074ye4j37k3k,"What abnormalities, procedures, and anatomical landmarks are visible in the image?","evidence of oesophagitis is present, and the image is from a gastroscopy, showing the z-line.",Multi-Choice
train,43854,clb0kvxwn92hc074y0g1i2dzr,What abnormalities are visible in the image?,evidence of oesophagitis and short-segment barrett's esophagus,Multi-Choice
train,44118,clb0kvxvu9188074yan09d9gk,What abnormalities are visible in the image?,evidence of oesophageal inflammation,Multi-Choice
train,45574,cla820gmhs5qj071u3snmf7ak,"What abnormalities, procedures, and findings are present in the image?","no polyp is identified, and the image shows findings consistent with ulcerative colitis obtained via colonoscopy.",Multi-Choice
train,45797,cla820gmas5ib071uajh4a5uu,"What procedure is depicted in the image, what abnormalities are present, and is there any indication of polyp removal?",the image shows a colonoscopy with evidence of ulcerative colitis and no indication of polyp removal.,Multi-Choice
train,46048,cla820glgs4fz071ucke45065,What procedure is depicted in the image and what findings are present?,no polyp detected during colonoscopy,Multi-Choice
train,46057,cla820glns4pj071u5zlyfwpr,"What abnormalities, procedures, and anatomical landmarks are visible in the image?",evidence of ulcerative colitis is present without any identifiable anatomical landmarks.,Multi-Choice
train,46428,clb0kvxv28zzs074y1xxyfl32,What abnormalities are visible in the image?,evidence of esophageal inflammation and a polyp,Multi-Choice
