class,precision,recall,f1,support,tp,fp,fn
colonoscopic examination performed,0.0,0.0,0.0,1,0,0,1
colonoscopic examination reveals a 5-10mm polyp with a sessile appearance.,0.0,0.0,0.0,1,0,0,1
colonoscopy revealed a 11-20mm tubular adenoma with characteristics consistent with paris classification.,0.0,0.0,0.0,1,0,0,1
complete removal not confirmed,0.0,0.0,0.0,1,0,0,1
consistent with a colonoscopic examination.,0.0,0.0,0.0,1,0,0,1
consistent with a colonoscopy procedure.,0.0,0.0,0.0,13,0,0,13
consistent with a colonoscopy.,0.0,0.0,0.0,1,0,0,1
consistent with a gastroscopy image.,0.0,0.0,0.0,1,0,0,1
consistent with a paris classification polyp.,0.0,0.0,0.0,1,0,0,1
consistent with a paris iia classification following a colonoscopy.,0.0,0.0,0.0,1,0,0,1
consistent with a previous colonoscopy,0.0,0.0,0.0,1,0,0,1
consistent with diagnostic gastroscopy,0.0,0.0,0.0,1,0,0,1
consistent with findings from a colonoscopy,0.0,0.0,0.0,1,0,0,1
consistent with findings from a gastroscopy procedure.,0.0,0.0,0.0,1,0,0,1
consistent with findings from a gastroscopy.,0.0,0.0,0.0,1,0,0,1
consistent with gastroscopic examination,0.0,0.0,0.0,1,0,0,1
consistent with gastroscopy examination,0.0,0.0,0.0,1,0,0,1
consistent with gastroscopy findings,0.0,0.0,0.0,1,0,0,1
consistent with gastroscopy findings.,0.0,0.0,0.0,1,0,0,1
consistent with gastroscopy procedure,0.0,0.0,0.0,1,0,0,1
endoscopic instruments and text are present,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp noted,0.0,0.0,0.0,1,0,0,1
evidence of a green and black box artifact is noted,0.0,0.0,0.0,1,0,0,1
evidence of a green and black box artifact is present,0.0,0.0,0.0,1,0,0,1
evidence of a green or black box artifact is present,0.0,0.0,0.0,1,0,0,1
evidence of a green-black box artefact is noted,0.0,0.0,0.0,1,0,0,1
evidence of a green/black box artefact is noted,0.0,0.0,0.0,4,0,0,4
evidence of a green/black box artefact is present,0.0,0.0,0.0,1,0,0,1
evidence of a large polyp remains in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
evidence of a paris iia polyp is present,0.0,0.0,0.0,1,0,0,1
evidence of a polyp,0.0,0.0,0.0,1,0,0,1
evidence of a polyp is present,0.0,0.0,0.0,3,0,0,3
evidence of a polyp is present along with a green/black box artifact from a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
evidence of a polyp is present along with textual annotations from a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
evidence of a polyp is present with no text and no green or black box artifacts.,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp found during a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp is present,0.0,0.0,0.0,2,0,0,2
evidence of a single polyp remains,0.0,0.0,0.0,1,0,0,1
evidence of cecal anatomy is noted,0.0,0.0,0.0,1,0,0,1
evidence of cecal landmark and presence of paris ip polyp,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation is present; polyp removal status is not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of green and black box artefacts,0.0,0.0,0.0,3,0,0,3
evidence of green and black box artifact noted,0.0,0.0,0.0,1,0,0,1
evidence of green and black box artifacts,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact and text is present,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact observed,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease is present,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis and z-line are present,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis is present,0.0,0.0,0.0,5,0,0,5
evidence of oesophagitis is present with no polyps observed and the z-line is visible.,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis is seen,0.0,0.0,0.0,1,0,0,1
evidence of pyloric region visualization during gastroscopic examination,0.0,0.0,0.0,1,0,0,1
evidence of residual polypoid lesion present,0.0,0.0,0.0,1,0,0,1
evidence of residual polyps found,0.0,0.0,0.0,1,0,0,1
evidence of residual polyps is present,0.0,0.0,0.0,1,0,0,1
evidence of residual polyps remains; image from colonoscopy procedure,0.0,0.0,0.0,1,0,0,1
evidence of ulcerative colitis,0.0,0.0,0.0,3,0,0,3
evidence of ulcerative colitis is noted,0.0,0.0,0.0,1,0,0,1
evidence of ulcerative colitis is observed,0.0,0.0,0.0,1,0,0,1
evidence of ulcerative colitis is present,0.0,0.0,0.0,2,0,0,2
evidence of ulcerative colitis is present without any identifiable anatomical landmarks.,0.0,0.0,0.0,1,0,0,1
evidence of ulcerative colitis noted,0.0,0.0,0.0,2,0,0,2
evidence of ulcerative colitis without residual polyps and no identifiable anatomical landmarks,0.0,0.0,0.0,1,0,0,1
evidence of z-line anatomy noted,0.0,0.0,0.0,1,0,0,1
evidence of z-line is noted,0.0,0.0,0.0,1,0,0,1
evidence of z-line is present,0.0,0.0,0.0,2,0,0,2
evidence of z-line is visible with no text and signs of oesophagitis,0.0,0.0,0.0,1,0,0,1
evidence of z-line seen along with text and no polyp present,0.0,0.0,0.0,1,0,0,1
findings are consistent with ulcerative colitis without identifiable anatomical landmarks.,0.0,0.0,0.0,1,0,0,1
findings include a green/black box artefact,0.0,0.0,0.0,1,0,0,1
green and black box artefacts are present,0.0,0.0,0.0,1,0,0,1
green and black box artefacts are present along with visible text,0.0,0.0,0.0,1,0,0,1
green and black box artifacts are present,0.0,0.0,0.0,1,0,0,1
green/black box artifact present,0.0,0.0,0.0,1,0,0,1
image from a colonoscopy,0.0,0.0,0.0,1,0,0,1
image from colonoscopy procedure,0.0,0.0,0.0,1,0,0,1
including a paris classification polyp.,0.0,0.0,0.0,1,0,0,1
including parietal and intraparietal types.,0.0,0.0,0.0,1,0,0,1
incomplete polyp removal was noted,0.0,0.0,0.0,1,0,0,1
indicating a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
indicating a recent colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
measuring less than 5 millimeters.,0.0,0.0,0.0,1,0,0,1
metal clip and tube are visible,0.0,0.0,0.0,1,0,0,1
mucosal inflammation is evident,0.0,0.0,0.0,1,0,0,1
mucosal inflammation is present,0.0,0.0,0.0,3,0,0,3
multiple anatomical landmarks are visible in various regions,0.0,0.0,0.0,1,0,0,1
multiple anatomical landmarks are visualized in central and upper regions,0.0,0.0,0.0,1,0,0,1
multiple artifacts,0.0,0.0,0.0,1,0,0,1
multiple findings are present with no polyps identified.,0.0,0.0,0.0,1,0,0,1
multiple green and black artifacts are present along with visible text,0.0,0.0,0.0,1,0,0,1
multiple polyps are present,0.25,0.6667,0.3636,15,10,30,5
multiple polyps are present with evidence of incomplete removal and a sessile lesion noted.,0.0,0.0,0.0,1,0,0,1
no abnormalities are present,0.0,0.0,0.0,1,0,0,1
no anatomical landmark is visible,0.0,0.0,0.0,1,0,0,1
no anatomical landmarks,0.0,0.0,0.0,1,0,0,1
no anatomical landmarks are identified,0.0,0.0,0.0,2,0,0,2
no anatomical landmarks are visible,0.0,0.0,0.0,3,0,0,3
no artefact present,0.0,0.0,0.0,1,0,0,1
no artefacts are observed,0.0,0.0,0.0,1,0,0,1
no artefacts are present,0.0,0.0,0.0,3,0,0,3
no artefacts noted,0.0,0.0,0.0,1,0,0,1
no artefacts observed,0.0,0.0,0.0,1,0,0,1
no complete removal,0.0,0.0,0.0,1,0,0,1
no evidence of green or black box artefact,0.0,0.0,0.0,2,0,0,2
no evidence of green or black box artefact noted,0.0,0.0,0.0,1,0,0,1
no evidence of oesophagitis is present,0.0,0.0,0.0,1,0,0,1
no evidence of polyp removal,0.0,0.0,0.0,1,0,0,1
no evidence of polyp removal observed,0.0,0.0,0.0,1,0,0,1
no evidence of polyps remains,0.0,0.0,0.0,1,0,0,1
no evidence of remaining polyps and no green/black box artefact detected,0.0,0.0,0.0,1,0,0,1
no evidence of residual polyps,0.0,0.0,0.0,1,0,0,1
no evidence of ulcerative colitis,0.0,0.0,0.0,1,0,0,1
no foreign bodies identified,0.0,0.0,0.0,1,0,0,1
no foreign bodies observed,0.0,0.0,0.0,1,0,0,1
no foreign objects detected,0.0,0.0,0.0,1,0,0,1
no green or black box artefact is present,0.0,0.0,0.0,1,0,0,1
no green or black box artefact is seen,0.0,0.0,0.0,1,0,0,1
no green or black box artefact noted,0.0,0.0,0.0,1,0,0,1
no green or black box artefact observed,0.0,0.0,0.0,1,0,0,1
no green or black box artefact seen,0.0,0.0,0.0,1,0,0,1
no green or black box artefacts are present,0.0,0.0,0.0,1,0,0,1
no green or black box artefacts are seen,0.0,0.0,0.0,1,0,0,1
no green or black box artefacts observed,0.0,0.0,0.0,1,0,0,1
no green or black box artifacts are present,0.0,0.0,0.0,1,0,0,1
no green/black box artefact identified,0.0,0.0,0.0,2,0,0,2
no green/black box artefact is present,0.0,0.0,0.0,5,0,0,5
no identifiable anatomical landmarks were observed during the colonoscopic examination.,0.0,0.0,0.0,1,0,0,1
no instruments are visible,0.0,0.0,0.0,6,0,0,6
no instruments are visualized,0.0,0.0,0.0,1,0,0,1
no instruments observed,0.0,0.0,0.0,3,0,0,3
no mucosal abnormalities are seen,0.0,0.0,0.0,1,0,0,1
no polyp is visualized,0.0,0.0,0.0,1,0,0,1
no polyp present,0.0,0.0,0.0,1,0,0,1
no polyp removal required.,0.0,0.0,0.0,1,0,0,1
no polyps are identified,0.0,0.0,0.0,1,0,0,1
no polyps are noted,0.0,0.0,0.0,3,0,0,3
no polyps are visible,0.0,0.0,0.0,1,0,0,1
no polyps remain,0.0,0.0,0.0,9,0,0,9
no polyps were identified,0.0,0.0,0.0,1,0,0,1
no residual polyps,0.0,0.0,0.0,1,0,0,1
no residual polyps identified,0.0,0.0,0.0,3,0,0,3
no residual polyps identified.,0.0,0.0,0.0,1,0,0,1
no residual polyps noted,0.0,0.0,0.0,1,0,0,1
no residual polyps observed,0.0,0.0,0.0,1,0,0,1
no significant anatomical landmarks identified,0.0,0.0,0.0,1,0,0,1
no surgical instruments are visible; the image is from a gastroscopy procedure.,0.0,0.0,0.0,1,0,0,1
no surgical instruments visualized,0.0,0.0,0.0,1,0,0,1
no text is present,0.0,0.0,0.0,5,0,0,5
no text is visible,0.0,0.0,0.0,14,0,0,14
no text noted.,0.0,0.0,0.0,1,0,0,1
no text observed,0.0,0.0,0.0,2,0,0,2
not all have been removed,0.2,0.3846,0.2632,13,5,20,8
not all polyps have been completely excised,0.0,0.0,0.0,2,0,0,2
not all polyps have been removed,0.2857,0.2222,0.25,9,2,5,7
not all polyps were completely removed,0.0,0.0,0.0,1,0,0,1
not all polyps were excised,0.0,0.0,0.0,1,0,0,1
not all polyps were removed,0.0,0.0,0.0,1,0,0,1
not fully excised,0.0,0.0,0.0,1,0,0,1
obtained during a colonoscopy.,0.0,0.0,0.0,1,0,0,1
one abnormal finding noted,0.0,0.0,0.0,2,0,0,2
one significant abnormality is present and not all polyps have been removed.,0.0,0.0,0.0,1,0,0,1
one significant finding noted,0.0,0.0,0.0,1,0,0,1
or instruments are visible in the image.,0.0,0.0,0.0,1,0,0,1
performed during a colonoscopy,0.0,0.0,0.0,1,0,0,1
polyp detected,0.0,0.0,0.0,1,0,0,1
polyp is present,0.0,0.0,0.0,1,0,0,1
polyp less than 5 millimeters,0.0,0.0,0.0,1,0,0,1
polyp less than 5 millimeters in size,0.0,0.0,0.0,1,0,0,1
polyp measures less than 5 millimeters,0.0,0.0,0.0,1,0,0,1
polyp measuring 11 to 20 millimeters,0.0,0.0,0.0,1,0,0,1
polyp removal is not applicable,0.0,0.0,0.0,3,0,0,3
polyp removal is not indicated,0.0,0.0,0.0,2,0,0,2
polyp removal is not relevant,0.0,0.0,0.0,2,0,0,2
polyp removal not applicable,0.0,0.0,0.0,1,0,0,1
polyp removal status is not applicable,0.0,0.0,0.0,1,0,0,1
polyp removal status not applicable,0.0,0.0,0.0,1,0,0,1
polyps are not a relevant finding,0.0,0.0,0.0,1,0,0,1
polyps are not completely removed,0.0,0.0,0.0,1,0,0,1
polyps are present,0.0,0.0,0.0,1,0,0,1
polyps are still present,0.0,0.0,0.0,2,0,0,2
polyps not completely removed,0.0,0.0,0.0,1,0,0,1
polyps not fully removed,0.0,0.0,0.0,1,0,0,1
polyps remain,0.0,0.0,0.0,1,0,0,1
polyps remain in place,0.0,0.0,0.0,1,0,0,1
polyps remain present,0.0,0.0,0.0,1,0,0,1
polyps remain present in the colonic mucosa,0.0,0.0,0.0,1,0,0,1
polyps remain unremoved,0.0,0.0,0.0,1,0,0,1
presence of a tube,0.0,0.0,0.0,1,0,0,1
presence of text,0.0,0.0,0.0,3,0,0,3
presence of z-line,0.0,0.0,0.0,2,0,0,2
presence of z-line identified,0.0,0.0,0.0,1,0,0,1
prominent z-line is observed,0.0,0.0,0.0,1,0,0,1
residual polyp is present,0.0,0.0,0.0,1,0,0,1
residual polyp present measuring 11 to 20 millimeters,0.0,0.0,0.0,1,0,0,1
residual polyp tissue is present,0.0,0.0,0.0,1,0,0,1
residual polyp tissue remains,0.0,0.0,0.0,1,0,0,1
residual polypoid lesion noted,0.0,0.0,0.0,1,0,0,1
residual polyps are present,0.0,0.0,0.0,1,0,0,1
residual polyps noted in the colon,0.0,0.0,0.0,1,0,0,1
residual polyps remain and text is present,0.0,0.0,0.0,1,0,0,1
some polyps remain,0.0,0.0,0.0,10,0,0,10
some polyps remain and measure between 11 to 20 millimeters with text noted.,0.0,0.0,0.0,1,0,0,1
some polyps remain present following the procedure,0.0,0.0,0.0,1,0,0,1
text,0.0,0.0,0.0,2,0,0,2
text is present,0.0,0.0,0.0,18,0,6,18
text is present in the image and the procedure is a colonoscopy.,0.0,0.0,0.0,1,0,0,1
text is present on the image,0.0,0.0,0.0,1,0,0,1
text is visible,0.0427,0.35,0.0761,20,7,157,13
text is visible in the image,0.0,0.0,0.0,3,0,0,3
text is visible in the image and the procedure performed was a colonoscopy.,0.0,0.0,0.0,1,0,0,1
text observed,0.0,0.0,0.0,1,0,0,1
text visible,0.0,0.0,0.0,1,0,0,1
the cecum is identified,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy,0.2239,0.6818,0.3371,22,15,52,7
the image is from a colonoscopy showing a 11-20mm pedunculated polyp.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy showing a remaining polyp in the colon.,0.0,0.0,0.0,1,0,0,1
the image is from a colonoscopy with visible text and no evidence of polyp removal.,0.0,0.0,0.0,1,0,0,1
the image is from a gastroscopy,0.0,0.0,0.0,8,0,0,8
the image shows a colonoscopy with no text present and no evidence of polyp removal.,0.0,0.0,0.0,1,0,0,1
the image shows a colonoscopy with visible text and no evidence of polyp removal.,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with evidence of oesophagitis,0.0,0.0,0.0,1,0,0,1
the image shows a gastroscopy with no polyps identified and no prior polyp removal noted.,0.0,0.0,0.0,1,0,0,1
the polyp measures 11 to 20 millimeters,0.0,0.0,0.0,3,0,0,3
the polyp measures greater than 20 millimeters,0.0,0.0,0.0,1,0,0,1
the polyp measures less than 5 millimeters,0.0,0.0,0.0,1,0,0,1
the procedure performed was a colonoscopy,0.0,0.0,0.0,2,0,0,2
the procedure was a colonoscopy,0.0,0.0,0.0,4,0,0,4
the procedure was a gastroscopy,0.0,0.0,0.0,1,0,0,1
the z-line is clearly visible,0.0,0.0,0.0,2,0,0,2
the z-line is clearly visualized,0.0,0.0,0.0,1,0,0,1
the z-line is identified,0.0,0.0,0.0,1,0,0,1
the z-line is visible,0.0,0.0,0.0,1,0,0,1
there is a green/black box artefact,0.0,0.0,0.0,1,0,0,1
there is a single polyp present,0.0,0.0,0.0,1,0,0,1
there is evidence of a colonic polyp,0.0,0.0,0.0,1,0,0,1
there is evidence of a paris iia polyp,0.0,0.0,0.0,1,0,0,1
there is evidence of incomplete polyp removal,0.0,0.0,0.0,1,0,0,1
there is evidence of oesophagitis,0.0,0.0,0.0,1,0,0,1
two distinct abnormalities identified,0.0,0.0,0.0,1,0,0,1
two distinct abnormalities identified with no polyp detected,0.0,0.0,0.0,1,0,0,1
two distinct abnormalities noted,0.0,0.0,0.0,2,0,0,2
two distinct findings are identified with no evidence of remaining polyps.,0.0,0.0,0.0,1,0,0,1
two distinct findings are observed without any polyp present.,0.0,0.0,0.0,1,0,0,1
two distinct findings are present with no evidence of polyps,0.0,0.0,0.0,1,0,0,1
two distinct findings identified,0.0,0.0,0.0,1,0,0,1
