class,precision,recall,f1,support,tp,fp,fn
biopsy forceps identified in field,0.0,0.0,0.0,1,0,0,1
biopsy forceps identified in the field,0.0,0.0,0.0,2,0,0,2
biopsy forceps located in the gastrointestinal tract,0.0,0.0,0.0,2,0,0,2
biopsy forceps noted in the field,0.0,0.0,0.0,1,0,0,1
biopsy forceps observed in field,0.0,0.0,0.0,1,0,0,1
biopsy forceps observed in the field,0.0,0.0,0.0,2,0,0,2
biopsy forceps present in the field,0.0,0.0,0.0,2,0,0,2
characteristic of paris iia classification,0.0,0.0,0.0,4,0,0,4
classified as paris iia according to histopathology,0.0,0.0,0.0,1,0,0,1
clear visualization of the z-line and evidence of esophagitis,0.0,0.0,0.0,1,0,0,1
colonoscopic examination performed,0.0,0.0,0.0,1,0,0,1
colonoscopic examination performed; no polyps visualized.,0.0,0.0,0.0,1,0,0,1
colonoscopic examination reveals a polyp measuring 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
colonoscopic examination reveals a polyp measuring between 11 to 20 millimeters in size.,0.0,0.0,0.0,1,0,0,1
colonoscopic examination reveals a sessile polyp in the ascending colon.,0.0,0.0,0.0,1,0,0,1
colonoscopic examination reveals pink and red colored lesions.,0.0,0.0,0.0,1,0,0,1
colonoscopic examination shows a paris iia polyp with sessile features.,0.0,0.0,0.0,1,0,0,1
colonoscopic examination shows a polyp measuring 11 to 20 millimeters in size.,0.0,0.0,0.0,1,0,0,1
colonoscopic examination shows no evidence of polyps.,0.0,0.0,0.0,1,0,0,1
colonoscopic view showing a polyp measuring 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
colonoscopic view with a moderately sized polyp measuring 11 to 20 millimeters,0.0,0.0,0.0,1,0,0,1
colonoscopic view with a polyp measuring 5 to 10 millimeters in diameter,0.0,0.0,0.0,1,0,0,1
colonoscopy performed with evidence of a pedunculated polyp,0.0,0.0,0.0,2,0,0,2
colonoscopy was performed with a polyp measuring less than 5 mm and the ileum is visible.,0.0,0.0,0.0,1,0,0,1
colonoscopy was performed with evidence of a paris polyp noted.,0.0,0.0,0.0,1,0,0,1
colonoscopy was performed with visible text and green/black box artifacts present.,0.0,0.0,0.0,1,0,0,1
colonoscopy was performed with visible text and no remaining polyps detected.,0.0,0.0,0.0,1,0,0,1
"colonoscopy was performed, showing a pedunculated polyp in the ascending colon.",0.0,0.0,0.0,1,0,0,1
endoscopic evaluation of the stomach,0.0,0.0,0.0,1,0,0,1
endoscopic evaluation of the stomach with visible text on the screen,0.0,0.0,0.0,1,0,0,1
endoscopic examination of the stomach,0.0,0.0,0.0,1,0,0,1
endoscopic visualization of the gastric lining,0.0,0.0,0.0,1,0,0,1
endoscopic visualization of the stomach,0.0,0.0,0.0,1,0,0,1
evidence of a 5-10mm polyp and presence of a green/black box artefact,0.0,0.0,0.0,1,0,0,1
evidence of a 5-10mm polyp and presence of text visible,0.0,0.0,0.0,1,0,0,1
evidence of a 5-10mm polyp with visible text in the image.,0.0,0.0,0.0,1,0,0,1
evidence of a 5-10mm tubular adenoma is present.,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp,0.0,0.0,0.0,13,0,0,13
evidence of a colonic polyp and presence of a green/black box artefact,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp found during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp identified during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp is present. text is visible.,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp noted during colonoscopy.,0.0,0.0,0.0,2,0,0,2
evidence of a colonic polyp observed during colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp observed during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp observed. text is present in the image.,0.0,0.0,0.0,1,0,0,1
evidence of a colonic polyp observed. text is present.,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopic examination with no visible polyps,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopic procedure with a pedunculated polyp identified,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopic procedure with a polyp measuring 5 to 10 millimeters in size.,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopic procedure with a small polyp measuring less than 5 millimeters,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy procedure with text and a tube visualized,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with a paris iia polyp detected,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with a paris iia polyp identified,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with a paris iia polyp observed,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with a sessile serrated polyp identified,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with no polyp detected,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with no visible polyps,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with no visible polyps observed,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with residual polyp noted and incomplete polyp removal.,0.0,0.0,0.0,1,0,0,1
evidence of a colonoscopy with residual polyps present,0.0,0.0,0.0,1,0,0,1
evidence of a gastroscopy procedure with no polypoid lesions detected,0.0,0.0,0.0,1,0,0,1
evidence of a green and black box artefact with visible text is present.,0.0,0.0,0.0,1,0,0,1
evidence of a green-black box artifact and a paris iia polyp observed,0.0,0.0,0.0,1,0,0,1
evidence of a paris classification polyp and a green/black box artefact is present.,0.0,0.0,0.0,1,0,0,1
evidence of a paris classification polyp is present with no green or black box artefacts detected.,0.0,0.0,0.0,1,0,0,1
evidence of a paris iia type polyp is identified in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
evidence of a paris iia type polyp is noted in the colon.,0.0,0.0,0.0,1,0,0,1
evidence of a paris iia type polyp with size greater than 20 millimeters,0.0,0.0,0.0,1,0,0,1
evidence of a paris ip polyp is present along with visible text and focal mucosal abnormalities.,0.0,0.0,0.0,1,0,0,1
"evidence of a paris ip polyp is seen, and the image was obtained during a colonoscopy.",0.0,0.0,0.0,1,0,0,1
evidence of a paris ip polyp with text present in the image.,0.0,0.0,0.0,1,0,0,1
evidence of a paris ip polyp with visible text present.,0.0,0.0,0.0,1,0,0,1
evidence of a paris ip type polyp detected,0.0,0.0,0.0,2,0,0,2
evidence of a paris ip type polyp with visible text noted.,0.0,0.0,0.0,1,0,0,1
evidence of a paris type ii polyp is noted.,0.0,0.0,0.0,1,0,0,1
evidence of a paris type iia polyp and green/black box artefact is present.,0.0,0.0,0.0,1,0,0,1
evidence of a paris type iia polyp is present without any green or black box artefacts.,0.0,0.0,0.0,1,0,0,1
evidence of a paris-type polyp is noted in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
evidence of a paris-type polyp is observed in the upper gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
evidence of a paris-type polyp is present in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
evidence of a paris-type polyp noted in the colon,0.0,0.0,0.0,1,0,0,1
evidence of a pedunculated polyp in the colon,0.0,0.0,0.0,1,0,0,1
evidence of a pedunculated polyp in the colon.,0.0,0.0,0.0,1,0,0,1
evidence of a pedunculated polyp in the colorectum,0.0,0.0,0.0,1,0,0,1
evidence of a pedunculated polyp in the terminal ileum,0.0,0.0,0.0,1,0,0,1
evidence of a pedunculated polyp is noted in the colon.,0.0,0.0,0.0,1,0,0,1
evidence of a polyp detected in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
evidence of a polyp is noted in the colon during a colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of a polyp is observed along with visible text in the image.,0.0,0.0,0.0,1,0,0,1
"evidence of a polyp is present in the image, along with visible text, and the polyp appears to be a paris ip type.",0.0,0.0,0.0,1,0,0,1
evidence of a polyp noted. no green/black box artefact observed.,0.0,0.0,0.0,1,0,0,1
evidence of a polypoid lesion,0.0,0.0,0.0,1,0,0,1
evidence of a recent colonoscopy with residual polyps noted,0.0,0.0,0.0,1,0,0,1
evidence of a remaining polyp is present in the colon.,0.0,0.0,0.0,1,0,0,1
evidence of a residual polyp is present in the colon.,0.0,0.0,0.0,2,0,0,2
evidence of a residual polyp is present in the examined region.,0.0,0.0,0.0,1,0,0,1
evidence of a sessile polyp in the rectosigmoid region,0.0,0.0,0.0,1,0,0,1
evidence of a sessile polyp is noted in the colon.,0.0,0.0,0.0,1,0,0,1
evidence of a single colonic polyp is present. no green or black box artefact is noted.,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp detected in the colon during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp noted during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp noted. text is present in the image.,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp seen during a colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of a single polyp seen in the colon. the image is from a colonoscopy procedure.,0.0,0.0,0.0,1,0,0,1
evidence of a single polypoid lesion,0.0,0.0,0.0,3,0,0,3
evidence of a single polypoid lesion and presence of artefact,0.0,0.0,0.0,1,0,0,1
evidence of a single polypoid lesion detected. no green or black box artefact observed.,0.0,0.0,0.0,1,0,0,1
evidence of a single polypoid lesion is present.,0.0,0.0,0.0,1,0,0,1
evidence of a single polypoid lesion noted. no green or black box artefact observed.,0.0,0.0,0.0,1,0,0,1
evidence of a single polypoid lesion observed in the gastrointestinal tract.,0.0,0.0,0.0,1,0,0,1
evidence of a single polypoidal lesion is present. text is visible.,0.0,0.0,0.0,1,0,0,1
evidence of a single polypoidal lesion noted. no green/black box artefact observed.,0.0,0.0,0.0,1,0,0,1
evidence of a single polypoidal lesion remains in the colon.,0.0,0.0,0.0,1,0,0,1
evidence of a single tube in the abdomen,0.0,0.0,0.0,1,0,0,1
evidence of a single tube present,0.0,0.0,0.0,3,0,0,3
evidence of a small bowel polyp,0.0,0.0,0.0,1,0,0,1
evidence of a small polyp detected during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of a small polyp is present. text is visible.,0.0,0.0,0.0,1,0,0,1
evidence of a small polyp noted in the gastrointestinal tract. text is present.,0.0,0.0,0.0,1,0,0,1
evidence of a solitary polyp is present. no green/black box artefact is noted.,0.0,0.0,0.0,1,0,0,1
evidence of barrett's esophagus and esophagitis,0.0,0.0,0.0,2,0,0,2
evidence of barrett's esophagus and inflammatory changes seen; performed during gastroscopy,0.0,0.0,0.0,1,0,0,1
evidence of black and green artifacts observed,0.0,0.0,0.0,1,0,0,1
evidence of black and green box artifacts,0.0,0.0,0.0,2,0,0,2
evidence of black box artifact present,0.0,0.0,0.0,1,0,0,1
evidence of box-like artifacts,0.0,0.0,0.0,1,0,0,1
evidence of box-like artifacts noted,0.0,0.0,0.0,3,0,0,3
evidence of box-like artifacts observed,0.0,0.0,0.0,10,0,0,10
evidence of box-like artifacts present,0.0,0.0,0.0,2,0,0,2
evidence of box-shaped artifacts present,0.0,0.0,0.0,3,0,0,3
evidence of cecal anatomy and features consistent with ulcerative colitis,0.0,0.0,0.0,1,0,0,1
evidence of cecal structure and signs consistent with ulcerative colitis,0.0,0.0,0.0,1,0,0,1
evidence of chronic inflammatory changes consistent with ulcerative colitis noted during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of colonic polyp,0.2948,0.9737,0.4526,76,74,177,2
evidence of colonoscopic evaluation with a paris classification lesion identified.,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopic examination,0.0,0.0,0.0,75,0,0,75
evidence of colonoscopic examination with a sessile serrated polyp detected,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopic examination with presence of a paris classification lesion,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopic examination with presence of a paris-type polyp,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopic procedure with visible text,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopic visualization,0.0,0.0,0.0,3,0,0,3
evidence of colonoscopy examination,0.0,0.0,0.0,12,0,0,12
evidence of colonoscopy findings with a hyperplastic polyp noted,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopy findings with a paris iia polyp observed,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopy findings with no box artifacts observed,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopy findings with no detectable polyps,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopy findings with presence of artifact in green and black areas,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopy procedure,0.0953,1.0,0.174,200,200,1899,0
evidence of colonoscopy with green/black box artefacts and signs of ulcerative colitis,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopy with no visible polyps,0.0,0.0,0.0,1,0,0,1
evidence of colonoscopy with no visible polyps noted,0.0,0.0,0.0,1,0,0,1
evidence of dark-colored artifacts,0.0,0.0,0.0,1,0,0,1
evidence of endoscopic examination,0.0,0.0,0.0,4,0,0,4
evidence of esophageal inflammation,0.0,0.0,0.0,59,0,0,59
evidence of esophageal inflammation and a paris iia type polyp,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation and polypoid lesion,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation and visible polyp,0.0,0.0,0.0,1,0,0,1
"evidence of esophageal inflammation is noted, and no residual polyps are seen.",0.0,0.0,0.0,1,0,0,1
"evidence of esophageal inflammation is noted, consistent with gastroscopy findings.",0.0,0.0,0.0,1,0,0,1
"evidence of esophageal inflammation is present, and polyp removal is not indicated.",0.0,0.0,0.0,1,0,0,1
"evidence of esophageal inflammation is present, and text is visible.",0.0,0.0,0.0,1,0,0,1
"evidence of esophageal inflammation is present, consistent with gastroscopy findings.",0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation is present. no polyps are seen.,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation is present. no text is visible.,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation is present. polyp removal status is not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation is present. text is visible.,0.0,0.0,0.0,2,0,0,2
evidence of esophageal inflammation noted without any visible polyps.,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation noted. no text present in the imaging.,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation noted. polyp removal status not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation observed during gastroscopy,0.0,0.0,0.0,2,0,0,2
evidence of esophageal inflammation observed during gastroscopy.,0.0,0.0,0.0,4,0,0,4
evidence of esophageal inflammation observed during upper endoscopy,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation without polyp formation,0.0,0.0,0.0,1,0,0,1
evidence of esophageal inflammation without visible polyps,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopic examination,0.0,0.0,0.0,6,0,0,6
evidence of gastroscopic examination without polypoid lesions,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopic examination without visible polyps,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopic visualization,0.0,0.0,0.0,4,0,0,4
evidence of gastroscopy performed,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy performed with no polyps identified,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy performed with no visible polyps,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy performed with no visible polyps detected,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy performed with visible text,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy performed with visible text on the image,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy performed without any green or black box artefacts detected.,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy performed without any visible text,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy procedure,0.0,0.0,0.0,5,0,0,5
evidence of gastroscopy procedure with visible text,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy with no polypoid lesions identified.,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy with presence of z-line,0.0,0.0,0.0,1,0,0,1
evidence of gastroscopy with z-line visible,0.0,0.0,0.0,1,0,0,1
evidence of green and black artifacts,0.0,0.0,0.0,3,0,0,3
evidence of green and black box artefact detected with an 11 to 20 millimeter polyp observed,0.0,0.0,0.0,1,0,0,1
evidence of green and black box artefacts detected during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of green and black box artifacts,0.5,0.0556,0.1,54,3,3,51
evidence of green and black box artifacts along with visible text is noted.,0.0,0.0,0.0,4,0,0,4
evidence of green and black box artifacts along with visible text is present.,0.0,0.0,0.0,3,0,0,3
evidence of green and black box artifacts and presence of a paris polyp,0.0,0.0,0.0,1,0,0,1
evidence of green and black box artifacts with visible text is present.,0.0,0.0,0.0,1,0,0,1
evidence of green and black box artifacts with visible text noted,0.0,0.0,0.0,2,0,0,2
evidence of green and black imaging artifacts,0.0,0.0,0.0,1,0,0,1
evidence of green-black box artefact and paris iia polyp observed,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact and paris type i polyp seen,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact and presence of paris ip polyp,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact and presence of paris ip type polyp,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact detected during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of green/black box artefact noted and polyp measuring 11 to 20 millimeters in size,0.0,0.0,0.0,1,0,0,1
evidence of hyperplastic polyp,0.0,0.0,0.0,6,0,0,6
evidence of hyperplastic polyps,0.0,0.0,0.0,1,0,0,1
evidence of incompletely removed polyp measuring 11 to 20 millimeters,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease,0.0,0.0,0.0,25,0,0,25
evidence of inflammatory bowel disease and findings from a colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease and no residual polyps identified,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease and no residual polyps noted,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease and presence of imaging artefact,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease detected. polyp removal status not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease is present. text is visible.,0.0,0.0,0.0,2,0,0,2
evidence of inflammatory bowel disease noted during colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease noted. no polyps identified.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease noted. no text identified.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease noted. text is present.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease noted. text is visible.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease observed during colonoscopic examination,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory bowel disease observed during colonoscopic examination.,0.0,0.0,0.0,1,0,0,1
"evidence of inflammatory bowel disease observed, no polyps detected",0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis,0.0,0.0,0.0,5,0,0,5
evidence of inflammatory changes consistent with ulcerative colitis and presence of a green/black box artefact.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis and presence of text noted.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis found during colonoscopy,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis noted. polyp removal status is not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis observed during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis seen during colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes consistent with ulcerative colitis was observed during the colonoscopy.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes in the colon,0.0,0.0,0.0,7,0,0,7
evidence of inflammatory changes in the esophagus observed during gastroscopy.,0.0,0.0,0.0,1,0,0,1
evidence of inflammatory changes in the esophagus. polyp removal status not applicable.,0.0,0.0,0.0,1,0,0,1
evidence of large pedunculated polyp,0.0,0.0,0.0,1,0,0,1
evidence of mucosal inflammation with pink and white lesions,0.0,0.0,0.0,1,0,0,1
evidence of multiple paris ip polyps,0.0,0.0,0.0,1,0,0,1
evidence of multiple polyps consistent with paris classification,0.0,0.0,0.0,1,0,0,1
evidence of oesophageal inflammation,0.0,0.0,0.0,31,0,0,31
evidence of oesophageal inflammation with no detectable polyp present,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis and a visible polyp,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis and short-segment barrett's esophagus,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis is observed during gastroscopy.,0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis is present without artefacts.,0.0,0.0,0.0,1,0,0,1
"evidence of oesophagitis is present, and polyp removal is not indicated",0.0,0.0,0.0,1,0,0,1
evidence of oesophagitis observed during gastroscopy.,0.0,0.0,0.0,1,0,0,1
evidence of parietal polyp,0.0,0.0,0.0,1,0,0,1
evidence of parietal polyp formation,0.0,0.0,0.0,2,0,0,2
evidence of parietal polypoid lesion,0.0,0.0,0.0,1,0,0,1
evidence of parietal polyps,0.0,0.0,0.0,5,0,0,5
evidence of paris iia classification,0.0,0.0,0.0,3,0,0,3
evidence of paris iia polyp,0.0,0.0,0.0,1,0,0,1
evidence of paris iia type polyp,0.0,0.0,0.0,1,0,0,1
evidence of paris ip polyps observed,0.0,0.0,0.0,1,0,0,1
evidence of paris polyp,0.0,0.0,0.0,2,0,0,2
evidence of paris polyp morphology,0.0,0.0,0.0,1,0,0,1
evidence of paris polypoid lesion,0.0,0.0,0.0,2,0,0,2
evidence of paris type iia polyp,0.0,0.0,0.0,1,0,0,1
evidence of paris type iia polyps observed,0.0,0.0,0.0,1,0,0,1
evidence of paris type polyp,0.0,0.0,0.0,1,0,0,1
evidence of paris-type polyp,0.0,0.0,0.0,18,0,0,18
evidence of paris-type polypoid lesion,0.0,0.0,0.0,4,0,0,4
evidence of paris-type polyps,0.0,0.0,0.0,1,0,0,1
evidence of paris-type polyps noted,0.0,0.0,0.0,1,0,0,1
evidence of pedunculated polyp,0.0,0.0,0.0,10,0,0,10
evidence of polyp snare and tubular device,0.0,0.0,0.0,1,0,0,1
evidence of polypoid lesion,0.0,0.0,0.0,14,0,0,14
evidence of remaining polyps,0.0,0.0,0.0,2,0,0,2
